"ОКУД
формы","ЦСОД/
СТАТЭК","Полное ведение (ПВ) /
Курирование",Краткое наименование,Отчетный период - за,"Дата получения каталога со статусом ""Итоговый"" в АС ГС ОФСН","Дата перевода каталога в ""Архивный"" статус","код отчётного
периода","ОКУД+Код
(формула)","Отчетная дата
(по бланку)","Период загрузки
отчетов (от)","Период загрузки
отчетов (до)","Рассылка 1
(дата)","Рассылка 2
(от)","Рассылка 2
(до)","Специалист отраслевого отдела
№ телефона, кабинет","Администратор БД от ОИРиТ
№ телефона, кабинет",Примечание
0613043,Ц,К,8-ВЭС(бункер),ноябрь 2025,не позднее 28.11.2025,,12112025,061304312112025,05.12.2025,28.11.2025,08.12.2024,28.11.2025,02.12.2025,04.12.2025,"Скоробогатых Татьяна Викторовна, т. 624, к. 509","Горячева Светлана Сергеевна, т. 303, к. 307",
0613043,Ц,К,8-ВЭС(бункер),декабрь 2025,не позднее 30.12.2025,,12122025,061304312122025,05.01.2026,09.01.2026,19.01.2026,09.01.2026,02.01.2026,04.01.2026,"Скоробогатых Татьяна Викторовна, т. 624, к. 509","Горячева Светлана Сергеевна, т. 303, к. 307",
0614001,Ц,К,1-конъюнктура,1 квартал 2025,"
не позднее 29.01.2025",,04012025,061400104012025,17.02.2025,05.02.2025,20.02.2025,05.02.2025,12.02.2025,14.02.2025,"Гаева Виктория Николаевна, т. 2-27, 619, к. 522","Рублёва Наталья Адольфовна, т. 322, к. 307",
0614001,Ц,К,1-конъюнктура,2 квартал 2025,"
не позднее 29.04.2025",,04022025,061400104022025,15.05.2025,05.05.2025,23.05.2025,05.05.2025,12.05.2025,14.05.2025,"Гаева Виктория Николаевна, т. 2-27, 619, к. 522","Рублёва Наталья Адольфовна, т. 322, к. 307",
0614001,Ц,К,1-конъюнктура,3 квартал 2025,"
не позднее 29.07.2025",,04032025,061400104032025,15.08.2025,05.08.2025,20.08.2025,05.08.2025,12.08.2025,14.08.2025,"Гаева Виктория Николаевна, т. 2-27, 619, к. 522","Рублёва Наталья Адольфовна, т. 322, к. 307",
0614001,Ц,К,1-конъюнктура,4 квартал 2025,"
не позднее 29.10.2025",,04042025,061400104042025,17.11.2025,05.11.2025,20.11.2025,05.11.2025,12.11.2025,14.11.2025,"Гаева Виктория Николаевна, т. 2-27, 619, к. 522","Рублёва Наталья Адольфовна, т. 322, к. 307",
0614004,Ц,К,№ 1-ТОРГ,2024,не позднее 28.12.2024,с 7 по 17 февраля после отчетного периода,01012024,061400401012024,17.02.2025,30.01.2025,13.03.2025,30.01.2025,12.02.2025,14.02.2025,"Очкур Наталья Михайловна, т. 3-63, к. 300","Рублёва Наталья Адольфовна, т. 322, к. 307",
0614008,С,ПВ,ПМ-торг,январь 2025,не позднее 29.01.2025,,12012025,061400812012025,14.02.2025,03.02.2025,17.02.2025,03.02.2025,11.02.2025,13.02.2025,"Бычкова Анна Александровна, т. 626, к. 300","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0614008,С,ПВ,ПМ-торг,февраль 2025,#N/A,#N/A,12022025,061400812022025,14.03.2025,03.03.2025,17.03.2025,03.03.2025,11.03.2025,13.03.2025,"Бычкова Анна Александровна, т. 626, к. 300","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0614008,С,ПВ,ПМ-торг,март 2025,#N/A,#N/A,12032025,061400812032025,14.04.2025,01.04.2025,17.04.2025,01.04.2025,09.04.2025,11.04.2025,"Бычкова Анна Александровна, т. 626, к. 300","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0614008,С,ПВ,ПМ-торг,апрель 2025,#N/A,#N/A,12042025,061400812042025,20.05.2025,05.05.2025,21.05.2025,05.05.2025,14.05.2025,16.05.2025,"Бычкова Анна Александровна, т. 626, к. 300","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0614008,С,ПВ,ПМ-торг,май 2025,#N/A,#N/A,12052025,061400812052025,17.06.2025,02.06.2025,18.06.2025,02.06.2025,09.06.2025,11.06.2025,"Бычкова Анна Александровна, т. 626, к. 300","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0614008,С,ПВ,ПМ-торг,июнь 2025,#N/A,#N/A,12062025,061400812062025,14.07.2025,01.07.2025,15.07.2025,01.07.2025,09.07.2025,11.07.2025,"Бычкова Анна Александровна, т. 626, к. 300","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0614008,С,ПВ,ПМ-торг,июль 2025,#N/A,#N/A,12072025,061400812072025,14.08.2025,01.08.2025,15.08.2025,01.08.2025,11.08.2025,13.08.2025,"Бычкова Анна Александровна, т. 626, к. 300","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0614008,С,ПВ,ПМ-торг,август 2025,#N/A,#N/A,12082025,061400812082025,12.09.2025,01.09.2025,15.09.2025,01.09.2025,09.09.2025,11.09.2025,"Бычкова Анна Александровна, т. 626, к. 300","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0614008,С,ПВ,ПМ-торг,сентябрь 2025,#N/A,#N/A,12092025,061400812092025,14.10.2025,01.10.2025,15.10.2025,01.10.2025,08.10.2025,10.10.2025,"Бычкова Анна Александровна, т. 626, к. 300","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0614008,С,ПВ,ПМ-торг,октябрь 2025,#N/A,#N/A,12102025,061400812102025,17.11.2025,05.11.2025,18.11.2025,05.11.2025,12.11.2025,14.11.2025,"Бычкова Анна Александровна, т. 626, к. 300","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0614008,С,ПВ,ПМ-торг,ноябрь 2025,#N/A,#N/A,12112025,061400812112025,12.12.2025,01.12.2025,15.12.2025,01.12.2025,09.12.2025,11.12.2025,"Бычкова Анна Александровна, т. 626, к. 300","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0614008,С,ПВ,ПМ-торг,декабрь 2025,#N/A,#N/A,12122025,061400812122025,22.01.2026,12.01.2026,26.01.2026,12.01.2026,19.01.2026,21.01.2026,"Бычкова Анна Александровна, т. 626, к. 300","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0614009,С,ПВ,№ 3-ТОРГ(ПМ),1 квартал 2025,не позднее  21.02.2025,,04012025,061400904012025,15.04.2025,05.04.2025,18.04.2025,4/7/2025,09.04.2025,11.04.2025,"Горохводацкая Александра Сергеевна, т. 620, 2-00, к. 524","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0614009,С,ПВ,№ 3-ТОРГ(ПМ),2 квартал 2025,#N/A,#N/A,04022025,061400904022025,15.07.2025,05.07.2025,18.07.2025,05.07.2025,09.07.2025,11.07.2025,"Горохводацкая Александра Сергеевна, т. 620, 2-00, к. 524","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0614009,С,ПВ,№ 3-ТОРГ(ПМ),3 квартал 2025,#N/A,#N/A,04032025,061400904032025,15.10.2025,05.10.2025,20.10.2025,05.10.2025,08.10.2025,10.10.2025,"Горохводацкая Александра Сергеевна, т. 620, 2-00, к. 524","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0614009,С,ПВ,№ 3-ТОРГ(ПМ),4 квартал 2025,#N/A,#N/A,04042025,061400904042025,15.01.2026,05.01.2026,28.01.2026,05.01.2026,12.01.2026,14.01.2026,"Горохводацкая Александра Сергеевна, т. 620, 2-00, к. 524","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0614011,Ц,К,3-ярмарка,1 квартал 2025,не позднее 28.03.2025,,04012025,061401104012025,10.04.2025,04.04.2025,18.04.2025,04.04.2025,07.04.2025,09.04.2025,"Иванникова Ольга Геннадьевна, т. 2-14; вн.615, к. 300","Трушаева Наталья Ивановна, т. 320, к. 307",
0614011,Ц,К,3-ярмарка,2 квартал 2025,не позднее 27.06.2025,,04022025,061401104022025,10.07.2025,04.07.2025,18.07.2025,04.07.2025,07.07.2025,09.07.2025,"Иванникова Ольга Геннадьевна, т. 2-14; вн.615, к. 300","Трушаева Наталья Ивановна, т. 320, к. 307",
0614011,Ц,К,3-ярмарка,3 квартал 2025,не позднее 26.09.2025,,04032025,061401104032025,10.10.2025,05.10.2025,20.10.2025,05.10.2025,07.10.2025,09.10.2025,"Иванникова Ольга Геннадьевна, т. 2-14; вн.615, к. 300","Трушаева Наталья Ивановна, т. 320, к. 307",
0614011,Ц,К,3-ярмарка,4 квартал 2025,не позднее 26.12.2025,,04042025,061401104042025,12.01.2026,05.01.2026,28.01.2026,05.01.2026,09.01.2026,11.01.2026,"Иванникова Ольга Геннадьевна, т. 2-14; вн.615, к. 300","Трушаева Наталья Ивановна, т. 320, к. 307",
0614019,С,ПВ,1-ИП (торговля),сентябрь 2025,#N/A,#N/A,12092025,061401912092025,,01.10.2025,01.11.2025,01.10.2025,,,"Верхозина Екатерина Евгеньевна, т. 604, к. 300","Усова Яна Сергеевна, т. 321, к. 307",
0614026,Ц,К,1-ТОРГ(МО),1 квартал 2025,не позднее 28.03.2025,,04012025,061402604012025,07.04.2025,01.04.2025,14.04.2025,01.04.2025,02.04.2025,04.04.2025,"Верхозина Екатерина Евгеньевна, т. 604, к. 300","Усова Яна Сергеевна, т. 321, к. 307",ОТМЕНЕНА
0614026,Ц,К,1-ТОРГ(МО),2 квартал 2025,не позднее 27.06.2025,,04022025,061402604022025,07.07.2025,01.07.2025,14.07.2025,01.07.2025,02.07.2025,04.07.2025,"Верхозина Екатерина Евгеньевна, т. 604, к. 300","Усова Яна Сергеевна, т. 321, к. 307",ОТМЕНЕНА
0614026,Ц,К,1-ТОРГ(МО),3 квартал 2025,не позднее 29.09.2025,,04032025,061402604032025,07.10.2025,01.10.2025,14.10.2025,01.10.2025,01.10.2025,03.10.2025,"Верхозина Екатерина Евгеньевна, т. 604, к. 300","Усова Яна Сергеевна, т. 321, к. 307",ОТМЕНЕНА
0614026,Ц,К,1-ТОРГ(МО),4 квартал 2025,не позднее 29.12.2025,,04042025,061402604042025,15.01.2026,08.01.2026,22.01.2026,08.01.2026,12.01.2026,14.01.2026,"Верхозина Екатерина Евгеньевна, т. 604, к. 300","Усова Яна Сергеевна, т. 321, к. 307",ОТМЕНЕНА
0614046,Ц,К,3-рынок,1 квартал 2025,не позднее 28.03.2025,,04012025,061404604012025,25.04.2025,15.04.2025,25.04.2025,4/15/2025,4/22/2025,4/24/2025,"Гаева Виктория Николаевна, т. 2-27, 619, к. 522",,
0614046,Ц,К,3-рынок,2 квартал 2025,не позднее 27.06.2025,,04022025,061404604022025,25.07.2025,15.07.2025,25.07.2025,,,,"Гаева Виктория Николаевна, т. 2-27, 619, к. 522",,
0614046,Ц,К,3-рынок,3 квартал 2025,не позднее 26.09.2025,,04032025,061404604032025,27.10.2025,15.10.2025,10/27/2025,,,,"Гаева Виктория Николаевна, т. 2-27, 619, к. 522",,
0614046,Ц,К,3-рынок,4 квартал 2025,не позднее 30.12.2025,,04042025,061404604042025,1/26/2026,1/15/2026,1/26/2026,,,,"Гаева Виктория Николаевна, т. 2-27, 619, к. 522",,
0615007,Ц,К,2-ТР (жел),2024,"
не позднее 20.12.2024",с 10 по 25 января,01012024,061500701012024,27.01.2025,09.01.2025,11.03.2025,09.01.2025,22.01.2025,24.01.2025,"Девятирякова Ольга Леонидовна, т. 2-47, 371-03-28 (доб. 804), к. 439","Усова Яна Сергеевна, т. 321, к. 307",
0615055,Ц,К,1-автотранс,январь 2025,"
не позднее 29.01.2025",,12012025,061505512012025,05.02.2025,01.02.2025,12.02.2025,-,-,-,"Медведева Елена Федоровна, т. 2-47, 803, к. 439",,нет рассылки
0615055,Ц,К,1-автотранс,февраль 2025,не позднее 27.02.2025,,12022025,061505512022025,05.03.2025,01.03.2025,12.03.2025,-,-,-,"Медведева Елена Федоровна, т. 2-47, 803, к. 439",,нет рассылки
0615055,Ц,К,1-автотранс,март 2025,не позднее 28.03.2025,,12032025,061505512032025,05.04.2025,01.04.2025,10.04.2025,4/1/2025,-,-,"Медведева Елена Федоровна, т. 2-47, 803, к. 439",,1 рассылка
0615055,Ц,К,1-автотранс,апрель 2025,"
не позднее 29.04.2025",,12042025,061505512042025,05.05.2025,01.05.2025,18.05.2025,4/30/2025,-,-,"Медведева Елена Федоровна, т. 2-47, 803, к. 439",,1 рассылка
0615055,Ц,К,1-автотранс,май 2025,"
не позднее 27.05.2025",,12052025,061505512052025,05.06.2025,01.06.2025,15.06.2025,01.06.2025,-,-,"Медведева Елена Федоровна, т. 2-47, 803, к. 439",,1 рассылка
0615055,Ц,К,1-автотранс,июнь 2025,"
не позднее 30.06.2025",,12062025,061505512062025,05.07.2025,01.07.2025,10.07.2025,01.07.2025,-,-,"Медведева Елена Федоровна, т. 2-47, 803, к. 439",,1 рассылка
0615055,Ц,К,1-автотранс,июль 2025,"
не позднее 29.07.2025",,12072025,061505512072025,05.08.2025,01.08.2025,12.08.2025,01.08.2025,-,-,"Медведева Елена Федоровна, т. 2-47, 803, к. 439",,1 рассылка
